,Unnamed: 0,type,Density,GSA,VSA,VF,PV,LCD,PLD,UG
251,251,AQUDAS_CoRE,1.04,1582.5,1645.2,0.62,0.66,9.38,5.62,1.49
252,252,PAKKIX_CSD17,1.4,0.0,0.0,0.39,0.28,2.82,1.58,0.1
253,253,CUQROX_CSD17,1.12,1030.55,1154.19,0.56,0.5,5.44,4.57,0.44
254,254,BOJCOT_CSD17,1.02,1281.89,1301.62,0.61,0.6,5.32,4.15,0.91
255,255,AJAGIC_CSD17,1.46,560.6,816.86,0.62,0.42,5.37,4.18,0.51
256,256,ARINIZ_CSD17,1.27,1114.09,1420.07,0.6,0.47,5.33,3.93,0.77
257,257,XEBHER_CSD17,1.0,1459.47,1453.69,0.6,0.6,5.08,4.09,0.61
258,258,PEPLOM_CSD17,1.12,960.12,1073.21,0.57,0.51,5.69,5.35,1.04
259,259,KIBDIJ_CoRE,2.07,189.2,392.5,0.34,0.23,4.31,3.89,0.14
260,260,XOFYOI_CSD17,1.09,1071.81,1166.67,0.55,0.51,6.04,4.77,0.65
261,261,CAJYIX_CSD17,1.29,322.94,415.15,0.54,0.42,5.08,3.8,0.51
262,262,BEDHOJ_CoRE,1.31,424.75,558.35,0.48,0.36,4.76,4.42,0.09
263,263,BOXFAW_CSD17,0.75,1628.39,1224.21,0.69,0.91,17.64,10.04,2.39
264,264,YIPGUA_CSD17,0.7,2181.91,1522.48,0.76,1.08,10.85,10.34,3.66
265,265,BAEDTA01_CoRE,2.14,118.4,253.7,0.21,0.18,5.35,4.27,0.14
266,266,DEDZOC_CSD17,2.63,0.0,0.0,0.36,0.14,3.14,2.43,0.05
267,267,PARNIH_CoRE,0.86,2133.8,1837.3,0.61,0.76,8.32,6.78,1.73
268,268,ICUMEA_CSD17,0.79,1607.4,1272.79,0.68,0.85,10.13,9.28,2.89
269,269,LACJAC_CoRE,1.59,0.0,0.0,0.27,0.29,4.56,3.36,0.24
270,270,TEWFOS_CSD17,1.21,424.33,511.63,0.49,0.4,5.14,3.8,0.3
271,271,WOKLOZ_CSD17,0.31,9291.89,2868.15,0.87,2.81,9.29,7.37,10.45
272,272,MURZUU01_UM,0.95,1474.87,1330.43,0.53,0.55,5.86,4.98,1.87
273,273,NESSOV_CoRE,1.03,920.0,948.8,0.52,0.54,6.24,3.92,0.61
274,274,SUPZIO_CSD17,1.2,973.34,1168.95,0.59,0.49,4.84,3.95,0.52
275,275,XADDUD_CoRE,1.13,1509.2,1712.4,0.59,0.52,6.46,5.36,0.94
276,276,XAXHUB_CSD17,1.44,322.44,463.51,0.44,0.3,5.03,3.88,0.13
277,277,CAYROK_CSD17,1.2,394.45,474.93,0.47,0.39,6.46,4.9,0.26
278,278,HEZSEK_CoRE,1.87,0.0,0.0,0.2,0.22,3.9,2.52,0.13
279,279,BAHGUN01_CoRE,1.51,0.0,0.0,0.26,0.27,4.21,3.21,0.12
